posX,posZ,amplL,amplR
-165.06,-370.58,10.58,14.78
-188.94,-370.58,6.35,2.3
-93.79,-611.78,0,0.16
-133.39,-611.78,10.85,10.4
-149.23,-611.78,2.66,1.76
-151.87,-611.78,2.65,0.56
-117.55,-611.78,0,1.99
-157.15,-611.78,0.58,2.97
-167.71,-611.78,0,0.18
-165.07,-611.78,2.06,0.23
-162.43,-611.78,0,2.63
-154.51,-611.78,1.68,1.56
-146.59,-611.78,1.39,0
-143.95,-611.78,2.19,0
-173.27,-598.38,0,3.03
-175.91,-598.38,0,1.62
-181.19,-598.38,1.55,2.44
-191.75,-598.38,0,0.58
-199.67,-598.38,0,1.82
-178.55,-598.38,1.73,3.78
-171.15,-584.98,0,0.72
-184.35,-584.98,2.57,1.49
-192.27,-584.98,0,1.18
-179.07,-584.98,0,0.57
-191.52,-571.58,1.91,0
-180.96,-571.58,0.52,0
-170,-531.38,2.11,0
-175.28,-531.38,1.13,0
-178.13,-517.98,1.92,0
-199.52,-450.98,2.32,0
-138.62,-437.58,0.41,0
-91.1,-437.58,0.92,0
-130.7,-437.58,0.88,0
-106.94,-437.58,0.26,0
-138.26,-424.18,0.91,0
-90.74,-424.18,2.56,0
-193.97,-424.18,0.29,0
-146.56,-410.78,1.03,0
-72.64,-410.78,0.21,0
-154.48,-410.78,0.54,0
-170.7,-410.78,1.31,2.75
-181.24,-410.78,0,0.64
-183.88,-410.78,0,0.42
-145.9,-397.38,0,7.9
-90.46,-397.38,0,4.64
-159.1,-397.38,2.76,10.61
-148.61,-397.38,2.45,5.15
-127.42,-397.38,0,1.29
-137.98,-397.38,0.35,0
-161.74,-397.38,1.17,0
-175.33,-397.38,2.2,5.92
-143.94,-370.58,1.97,0
-157.14,-370.58,2.12,0
-162.42,-370.58,0.57,0
-297.18,-370.58,1.3,0
-170.63,-598.38,1.85,0
-173.79,-584.98,0.2,0
-218.02,-558.18,1.04,0
-170.5,-558.18,1.14,0
-170.18,-544.78,4.01,7.09
-172.82,-544.78,0.77,0.2
-178.1,-544.78,0,1.46
-225.62,-544.78,0,0.94
-217.85,-504.58,17,21.24
-220.79,-437.58,0.25,0
-178.55,-437.58,0.86,0
-173.27,-437.58,1.25,0
-114.24,-625.18,1.29,1.94
-183.86,-611.78,0,1.72
-186.5,-611.78,0,0.34
